"","lon","lat","pH","EC","GWC","per_clay","per_sand","per_silt","Al","As","B","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","S","Ti","Zn","per_som","PerN","PerC","CNRatio","Ele"
"WS-13-2",-94.23471181,36.06644142,6.06,79.4,0.237079487,8.43575,28,63.56425,51.1,0.005,4.91,121,0.004,0.012,0.009,0.073,23.8,4,1.78,2.36,0.001,6,0.062,1.78,1.36,0.032,0.143,3.93,0.218375474,2.451298952,11.22515678,375.493
"WS-13-3",-94.23477221,36.06653026,6.3,137.3,0.182377881,4.5265,26,69.4735,37.9,0.01,4.89,187,0.004,0.021,0.009,0.099,25.6,5.71,8.99,3.37,0.001,9.95,0.07,0.877,0.975,0.038,0.205,3.9775,0.229352191,2.637989759,11.50191689,375.234
"WS-13-4",-94.23486831,36.0665585,6.02,94.5,0.185103681,3.00395,19,77.99605,42.1,0.004,4.37,152,0.003,0.036,0.011,0.119,24.8,4.23,10.6,2.99,0.001,11.1,0.106,0.532,0.778,0.028,0.145,3.4225,0.174026966,2.010261536,11.55143738,375.217
"WS-1-3",-94.2340157,36.06577177,6.36,150.1,0.266301032,17.283,19.625,63.092,37.2,0.005,4.21,185,0.003,0.029,0.01,0.104,26.5,5.24,10.2,3.3,0,10.5,0.088,0.637,0.932,0.031,0.166,3.29,0.196132883,2.484981298,12.66988659,375.147
"WS-14-2",-94.23495464,36.06655917,5.88,65.5,0.205951837,3.2097,24.875,71.9153,57.2,0,4.97,103,0.003,0.009,0.009,0.076,24.2,3.45,3.54,1.5,0.001,6.37,0.06,1.64,1.23,0.03,0.121,3.65,0.202461451,2.264097691,11.18285847,375.36398
"WS-14-4",-94.23501431,36.06657451,6.83,155.5,0.133595924,13.86755,21,65.13245,35.6,0.007,1.5,174,0.008,0.018,0.01,0.097,22.2,3.68,7.98,1.79,0,13,0.107,0.462,1.5,0.039,0.134,4.19,0.176496431,1.81008184,10.25562859,375.16
"WS-14-5",-94.23518141,36.06662246,6.15,75.5,0.154817128,5.2672,24.25,70.4828,58.8,0,1.55,105,0.094,0.03,0.033,0.111,26.5,5.94,2.9,2.83,0.001,4.45,0.076,1.73,1.22,0.05,0.242,3.75,0.191879496,2.38205719,12.41433907,375.52304
"WS-1-4",-94.23418015,36.0658188,5.93,125.8,0.35085038,9.053,12.75,78.197,48.9,0.007,4.41,206,0.004,0.024,0.017,0.116,37.9,6.03,12.1,3.51,0,11,0.102,0.663,0.889,0.031,0.189,2.43,0.192632779,2.130046844,11.05755138,375.157
"WS-15-3",-94.23531233,36.06650534,6.08,115.3,0.182968318,8.538625,24.125,67.336375,36,0.006,1.47,169,0.016,0.045,0.008,0.107,27.5,4.64,4.54,4.47,0,9.62,0.08,0.625,0.975,0.029,0.177,4.13,0.223702714,2.710541964,12.11671448,375.22998
"WS-15-4",-94.23532436,36.06642378,5.68,75.2,0.149843681,13.53835,30.75,55.71165,38.8,0,1.5,129,0.009,0.038,0.006,0.107,20.6,3.08,6.57,5.25,0.001,4.43,0.067,2.17,0.933,0.04,0.265,4.065,0.236949623,2.614526272,11.03410149,375.611
"WS-15-5",-94.23546058,36.0663411,6.2,125.5,0.118295877,10.08175,23.25,66.66825,37.5,0.008,1.52,128,0.013,0.039,0.01,0.118,28.4,4.24,1.89,4.96,0,7.01,0.067,1.22,1.24,0.04,0.206,2.6725,0.209767893,2.336047649,11.13634491,375.187
"WS-1-5",-94.23410468,36.06584932,5.77,91.5,0.372335454,13.168,12.25,74.582,49.8,0.009,4.63,211,0.004,0.024,0.019,0.095,41.2,6.23,11.2,3.58,0.001,11.3,0.101,0.553,0.935,0.037,0.195,3.29,0.184050113,2.085236549,11.32972145,375.174
"WS-16-1",-94.23526293,36.06653307,5.83,118.1,0.187746796,8.0654,21,70.9346,42.1,0,1.59,164,0.004,0.028,0.012,0.146,30,4.56,4.3,2.77,0,8.29,0.094,0.882,0.913,0.029,0.222,3.5725,0.225460812,2.292239904,10.16691017,375.167
"WS-16-2",-94.23523329,36.06651588,5.54,96,0.200711132,8.456325,21.625,69.918675,49.5,0.005,1.56,134,0.004,0.021,0.015,0.1,29.6,4.39,5.49,1.46,0.001,7.82,0.072,0.854,1.06,0.031,0.182,3.775,0.220551267,2.435394287,11.04230499,375.117
"WS-16-3",-94.23518377,36.06653199,5.59,112.6,0.212720514,7.77735,18.75,73.47265,50.1,0.004,1.61,175,0.004,0.024,0.016,0.117,34.2,5.31,6.82,1.88,0.002,9.44,0.088,0.913,1.21,0.032,0.23,3.5,0.219511643,2.390062332,10.88808918,375.063
"WS-16-4",-94.23515863,36.06643712,5.95,132.2,0.202601483,7.139525,24.25,68.610475,38.4,0,1.66,186,0.004,0.037,0.012,0.109,31.6,4.43,4.64,4.63,0,9.5,0.074,0.572,0.983,0.03,0.206,3.9075,0.214741617,2.471407652,11.50874996,375.223
"WS-16-5",-94.23507422,36.06642864,6.02,136.4,0.217593357,6.8309,20.875,72.2941,46.6,0.007,1.49,211,0.004,0.021,0.014,0.118,27.4,4.31,8.14,1.99,0.001,9.35,0.061,0.551,0.832,0.136,0.18,3.61,0.218854591,2.26748085,10.36067295,375.086
